payment_mode,student_id,payment_amount,discount_used,completion_status
Free,STU109903,0,Yes,Completed
Free,STU109904,0,No,Not Completed
Free,STU109905,0,No,Not Completed
UPI,STU109906,3129,No,Completed
Credit Card,STU109907,5019,No,Completed
UPI,STU109908,3218,No,Not Completed
Debit Card,STU109909,3481,No,Not Completed
UPI,STU109910,4292,No,Not Completed
UPI,STU109911,3390,No,Completed
Free,STU109912,0,No,Completed
NetBanking,STU109913,4267,No,Not Completed
Debit Card,STU109914,3871,No,Not Completed
Free,STU109915,0,No,Completed
UPI,STU109916,4571,No,Completed
UPI,STU109917,4349,No,Completed
UPI,STU109918,3608,Yes,Not Completed
Debit Card,STU109919,5904,No,Completed
Credit Card,STU109920,4122,No,Not Completed
NetBanking,STU109921,4324,No,Not Completed
Credit Card,STU109922,2868,Yes,Completed
Free,STU109923,0,Yes,Not Completed
UPI,STU109924,3628,No,Completed
Credit Card,STU109925,5614,No,Not Completed
Debit Card,STU109926,4789,No,Completed
UPI,STU109927,5129,No,Not Completed
NetBanking,STU109928,5616,No,Not Completed
Credit Card,STU109929,3986,Yes,Not Completed
Credit Card,STU109930,6968,No,Completed
Debit Card,STU109931,2592,Yes,Not Completed
Credit Card,STU109932,3132,Yes,Completed
Credit Card,STU109933,3076,No,Not Completed
Credit Card,STU109934,3894,No,Not Completed
Free,STU109935,0,No,Not Completed
Credit Card,STU109936,5112,No,Completed
Free,STU109937,0,Yes,Not Completed
UPI,STU109938,6666,No,Completed
Scholarship,STU109939,342,No,Not Completed
Credit Card,STU109940,3368,No,Not Completed
Free,STU109941,0,No,Not Completed
NetBanking,STU109942,5097,No,Completed
Scholarship,STU109943,1686,No,Completed
Credit Card,STU109944,6088,No,Not Completed
UPI,STU109945,4395,No,Not Completed
Free,STU109946,0,No,Not Completed
UPI,STU109947,4280,No,Completed
UPI,STU109948,4396,No,Completed
UPI,STU109949,4429,No,Not Completed
Credit Card,STU109950,4913,No,Completed
Free,STU109951,0,No,Completed
Free,STU109952,0,Yes,Completed
UPI,STU109953,3620,No,Not Completed
UPI,STU109954,2493,Yes,Not Completed
Debit Card,STU109955,4627,Yes,Completed
Free,STU109956,0,No,Not Completed
UPI,STU109957,4393,No,Not Completed
NetBanking,STU109958,4335,No,Not Completed
Credit Card,STU109959,3374,No,Completed
NetBanking,STU109960,3316,No,Completed
UPI,STU109961,5062,Yes,Not Completed
Free,STU109962,0,No,Completed
Debit Card,STU109963,6494,No,Completed
Credit Card,STU109964,3402,No,Completed
Credit Card,STU109965,5499,No,Completed
Debit Card,STU109966,4111,No,Not Completed
Free,STU109967,0,Yes,Not Completed
Debit Card,STU109968,3325,No,Not Completed
NetBanking,STU109969,3699,Yes,Not Completed
Free,STU109970,0,No,Not Completed
Credit Card,STU109971,3863,No,Completed
NetBanking,STU109972,5232,No,Completed
Debit Card,STU109973,6734,No,Not Completed
Credit Card,STU109974,4625,No,Not Completed
UPI,STU109975,4691,No,Completed
NetBanking,STU109976,3396,No,Not Completed
NetBanking,STU109977,6697,No,Completed
UPI,STU109978,4506,No,Completed
NetBanking,STU109979,3427,No,Not Completed
Debit Card,STU109980,6155,No,Completed
Credit Card,STU109981,4198,No,Completed
Scholarship,STU109982,1002,No,Completed
Credit Card,STU109983,3630,No,Completed
UPI,STU109984,5885,No,Not Completed
Credit Card,STU109985,4391,No,Not Completed
Debit Card,STU109986,4807,No,Not Completed
Credit Card,STU109987,3651,Yes,Not Completed
NetBanking,STU109988,6008,No,Not Completed
Free,STU109989,0,Yes,Not Completed
Free,STU109990,0,No,Not Completed
Scholarship,STU109991,1689,No,Not Completed
UPI,STU109992,4553,No,Not Completed
Scholarship,STU109993,2123,No,Not Completed
UPI,STU109994,4385,No,Not Completed
UPI,STU109995,4924,No,Completed
Free,STU109996,0,No,Not Completed
Credit Card,STU109997,3545,No,Completed
UPI,STU109998,3654,No,Completed
Debit Card,STU109999,4137,No,Not Completed
Debit Card,STU110000,3942,Yes,Not Completed
NetBanking,STU110001,4731,No,Not Completed
Scholarship,STU110002,2394,No,Not Completed
Debit Card,STU110003,4278,No,Completed
NetBanking,STU110004,4200,No,Not Completed
UPI,STU110005,3355,No,Not Completed
Free,STU110006,0,No,Not Completed
Debit Card,STU110007,2975,Yes,Not Completed
UPI,STU110008,4289,No,Not Completed
UPI,STU110009,4455,Yes,Not Completed
UPI,STU110010,2898,Yes,Completed
NetBanking,STU110011,3869,Yes,Completed
UPI,STU110012,5461,Yes,Completed
Credit Card,STU110013,4072,No,Completed
Free,STU110014,0,No,Not Completed
UPI,STU110015,3507,No,Completed
Debit Card,STU110016,4052,No,Completed
Debit Card,STU110017,3972,No,Completed
UPI,STU110018,5298,No,Completed
Credit Card,STU110019,4610,No,Completed
Scholarship,STU110020,1683,No,Completed
Free,STU110021,0,No,Completed
UPI,STU110022,3174,No,Completed
Free,STU110023,0,No,Not Completed
Scholarship,STU110024,236,Yes,Not Completed
Debit Card,STU110025,4068,No,Completed
Free,STU110026,0,Yes,Not Completed
Scholarship,STU110027,756,No,Completed
UPI,STU110028,6174,No,Completed
Credit Card,STU110029,3275,No,Completed
UPI,STU110030,3904,Yes,Not Completed
UPI,STU110031,5699,No,Completed
Free,STU110032,0,No,Not Completed
Debit Card,STU110033,3998,No,Not Completed
Scholarship,STU110034,2362,No,Not Completed
NetBanking,STU110035,3883,Yes,Not Completed
UPI,STU110036,5298,Yes,Completed
Debit Card,STU110037,6878,No,Completed
UPI,STU110038,4611,No,Completed
Debit Card,STU110039,3730,No,Completed
Credit Card,STU110040,4361,No,Not Completed
UPI,STU110041,5922,No,Completed
Scholarship,STU110042,1389,No,Not Completed
Free,STU110043,0,No,Not Completed
UPI,STU110044,5295,No,Completed
UPI,STU110045,4917,No,Completed
Debit Card,STU110046,3109,No,Completed
Free,STU110047,0,No,Not Completed
NetBanking,STU110048,3562,No,Not Completed
Free,STU110049,0,No,Not Completed
Debit Card,STU110050,6818,No,Not Completed
Credit Card,STU110051,4092,No,Not Completed
UPI,STU110052,3844,No,Completed
NetBanking,STU110053,3725,No,Completed
Free,STU110054,0,No,Not Completed
UPI,STU110055,5662,No,Not Completed
NetBanking,STU110056,4513,Yes,Not Completed
Debit Card,STU110057,4651,No,Not Completed
NetBanking,STU110058,4874,No,Completed
NetBanking,STU110059,3019,Yes,Completed
UPI,STU110060,5986,No,Not Completed
Scholarship,STU110061,727,No,Not Completed
Scholarship,STU110062,1747,No,Completed
Debit Card,STU110063,3874,Yes,Completed
Credit Card,STU110064,6900,No,Completed
Scholarship,STU110065,759,Yes,Completed
Credit Card,STU110066,5876,No,Completed
NetBanking,STU110067,2997,No,Completed
Free,STU110068,0,No,Not Completed
UPI,STU110069,4235,No,Not Completed
UPI,STU110070,6305,No,Not Completed
Scholarship,STU110071,1687,No,Completed
Credit Card,STU110072,5605,No,Completed
Debit Card,STU110073,5929,No,Completed
UPI,STU110074,4467,No,Completed
Free,STU110075,0,Yes,Completed
UPI,STU110076,3825,Yes,Not Completed
Debit Card,STU110077,6920,No,Not Completed
NetBanking,STU110078,3099,No,Completed
Free,STU110079,0,No,Completed
Scholarship,STU110080,1507,No,Not Completed
NetBanking,STU110081,4931,No,Not Completed
UPI,STU110082,5269,No,Not Completed
Credit Card,STU110083,4594,No,Not Completed
Credit Card,STU110084,4311,No,Completed
Debit Card,STU110085,3554,Yes,Not Completed
Scholarship,STU110086,2475,No,Completed
Debit Card,STU110087,5524,No,Completed
UPI,STU110088,5278,No,Completed
Credit Card,STU110089,5983,No,Completed
Free,STU110090,0,No,Not Completed
Credit Card,STU110091,3220,Yes,Completed
UPI,STU110092,4697,No,Completed
Free,STU110093,0,Yes,Not Completed
Debit Card,STU110094,4706,No,Completed
Debit Card,STU110095,4284,No,Completed
NetBanking,STU110096,3547,Yes,Completed
Scholarship,STU110097,2063,No,Not Completed
UPI,STU110098,4554,Yes,Not Completed
UPI,STU110099,6093,No,Completed
UPI,STU110100,4580,No,Completed
UPI,STU110101,3183,No,Not Completed
Scholarship,STU110102,1200,No,Completed
Credit Card,STU110103,5357,No,Completed
Free,STU110104,0,No,Not Completed
Debit Card,STU110105,6530,No,Completed
UPI,STU110106,6902,No,Completed
Credit Card,STU110107,3805,Yes,Not Completed
Scholarship,STU110108,1054,No,Completed
Scholarship,STU110109,1932,No,Not Completed
UPI,STU110110,3527,No,Not Completed
Scholarship,STU110111,2221,No,Not Completed
Scholarship,STU110112,1591,No,Completed
UPI,STU110113,5401,Yes,Completed
Scholarship,STU110114,1088,No,Not Completed
UPI,STU110115,5924,Yes,Completed
Credit Card,STU110116,3346,No,Not Completed
NetBanking,STU110117,3447,No,Not Completed
UPI,STU110118,3469,No,Completed
Credit Card,STU110119,4103,No,Completed
UPI,STU110120,3963,No,Completed
Debit Card,STU110121,5002,No,Completed
UPI,STU110122,4383,No,Completed
Debit Card,STU110123,6380,No,Not Completed
UPI,STU110124,3049,No,Completed
Scholarship,STU110125,897,Yes,Not Completed
Scholarship,STU110126,1350,Yes,Completed
UPI,STU110127,5302,No,Not Completed
UPI,STU110128,5313,Yes,Completed
NetBanking,STU110129,4363,No,Not Completed
UPI,STU110130,3323,No,Not Completed
NetBanking,STU110131,5973,No,Completed
Credit Card,STU110132,4164,No,Not Completed
Credit Card,STU110133,4453,No,Completed
UPI,STU110134,4855,No,Completed
Scholarship,STU110135,1692,No,Completed
Debit Card,STU110136,5272,Yes,Completed
Free,STU110137,0,No,Not Completed
NetBanking,STU110138,5278,No,Not Completed
UPI,STU110139,2952,No,Not Completed
NetBanking,STU110140,4025,Yes,Not Completed
UPI,STU110141,4361,No,Not Completed
UPI,STU110142,4961,No,Completed
UPI,STU110143,4080,No,Not Completed
UPI,STU110144,6410,No,Completed
Debit Card,STU110145,5869,No,Completed
UPI,STU110146,5956,No,Completed
Credit Card,STU110147,3136,No,Not Completed
Debit Card,STU110148,3125,No,Completed
Credit Card,STU110149,4604,Yes,Completed
Free,STU110150,0,No,Completed
Debit Card,STU110151,4289,No,Completed
UPI,STU110152,3381,No,Not Completed
Debit Card,STU110153,6015,No,Completed
Credit Card,STU110154,5397,No,Not Completed
UPI,STU110155,4486,Yes,Completed
NetBanking,STU110156,3449,No,Completed
NetBanking,STU110157,2931,No,Not Completed
Scholarship,STU110158,1840,Yes,Not Completed
Scholarship,STU110159,1657,Yes,Completed
Debit Card,STU110160,4006,No,Completed
UPI,STU110161,4113,No,Completed
Free,STU110162,0,No,Not Completed
Scholarship,STU110163,2213,No,Not Completed
Scholarship,STU110164,239,No,Completed
Credit Card,STU110165,4521,No,Not Completed
UPI,STU110166,3026,No,Not Completed
Debit Card,STU110167,4615,No,Not Completed
Free,STU110168,0,No,Not Completed
UPI,STU110169,3115,No,Completed
UPI,STU110170,3048,Yes,Completed
UPI,STU110171,6298,No,Completed
Free,STU110172,0,No,Not Completed
Free,STU110173,0,Yes,Completed
Credit Card,STU110174,6063,No,Completed
Credit Card,STU110175,6693,No,Completed
NetBanking,STU110176,3255,No,Not Completed
Debit Card,STU110177,3377,No,Not Completed
UPI,STU110178,6263,No,Not Completed
Scholarship,STU110179,609,No,Completed
UPI,STU110180,5077,No,Not Completed
UPI,STU110181,3895,No,Completed
Credit Card,STU110182,6108,No,Completed
Debit Card,STU110183,4926,No,Not Completed
NetBanking,STU110184,4935,No,Completed
NetBanking,STU110185,4867,No,Not Completed
UPI,STU110186,6012,No,Completed
UPI,STU110187,5642,No,Completed
UPI,STU110188,3597,Yes,Completed
UPI,STU110189,5398,No,Not Completed
Debit Card,STU110190,5186,No,Completed
Credit Card,STU110191,3891,Yes,Not Completed
Free,STU110192,0,No,Completed
Credit Card,STU110193,2813,Yes,Completed
Credit Card,STU110194,4053,No,Completed
Credit Card,STU110195,3116,No,Not Completed
Debit Card,STU110196,5367,No,Not Completed
Scholarship,STU110197,1999,No,Completed
Credit Card,STU110198,3282,No,Not Completed
UPI,STU110199,5641,No,Completed
Credit Card,STU110200,5491,No,Not Completed
UPI,STU110201,6755,No,Completed
UPI,STU110202,5961,No,Not Completed
Free,STU110203,0,No,Not Completed
NetBanking,STU110204,4804,Yes,Completed
UPI,STU110205,4330,No,Not Completed
UPI,STU110206,4187,No,Not Completed
Free,STU110207,0,No,Not Completed
Debit Card,STU110208,5601,No,Completed
Credit Card,STU110209,3889,No,Not Completed
UPI,STU110210,3835,No,Completed
Credit Card,STU110211,4818,No,Completed
UPI,STU110212,5889,No,Completed
Free,STU110213,0,No,Completed
UPI,STU110214,3731,No,Completed
Scholarship,STU110215,811,No,Not Completed
Free,STU110216,0,Yes,Completed
Free,STU110217,0,No,Completed
Free,STU110218,0,No,Completed
Debit Card,STU110219,5099,No,Not Completed
Credit Card,STU110220,4873,No,Completed
Free,STU110221,0,No,Completed
Debit Card,STU110222,4658,No,Not Completed
UPI,STU110223,3103,Yes,Not Completed
Free,STU110224,0,No,Not Completed
Debit Card,STU110225,6661,No,Completed
UPI,STU110226,3989,No,Not Completed
UPI,STU110227,5455,No,Completed
UPI,STU110228,4174,No,Not Completed
UPI,STU110229,3934,Yes,Completed
Debit Card,STU110230,4711,No,Completed
Credit Card,STU110231,3263,Yes,Not Completed
Free,STU110232,0,No,Completed
UPI,STU110233,4698,No,Not Completed
NetBanking,STU110234,6654,No,Completed
UPI,STU110235,4890,No,Completed
UPI,STU110236,3866,No,Not Completed
Credit Card,STU110237,4247,No,Not Completed
Free,STU110238,0,No,Not Completed
Scholarship,STU110239,733,No,Completed
Credit Card,STU110240,3429,No,Completed
Debit Card,STU110241,7038,No,Completed
UPI,STU110242,4176,No,Not Completed
UPI,STU110243,4410,No,Completed
Credit Card,STU110244,3172,No,Completed
Free,STU110245,0,Yes,Completed
Free,STU110246,0,Yes,Completed
Free,STU110247,0,No,Not Completed
UPI,STU110248,3557,No,Not Completed
Credit Card,STU110249,6475,No,Completed
UPI,STU110250,6860,No,Not Completed
Scholarship,STU110251,1909,No,Completed
Credit Card,STU110252,5965,No,Not Completed
Credit Card,STU110253,3381,No,Completed
Credit Card,STU110254,5896,No,Completed
UPI,STU110255,3930,No,Not Completed
Debit Card,STU110256,5326,No,Not Completed
Scholarship,STU110257,2506,No,Completed
Free,STU110258,0,No,Completed
Credit Card,STU110259,4548,No,Completed
UPI,STU110260,4141,No,Not Completed
UPI,STU110261,4443,No,Completed
Scholarship,STU110262,1158,No,Not Completed
Free,STU110263,0,Yes,Completed
Free,STU110264,0,No,Completed
Scholarship,STU110265,2213,No,Completed
UPI,STU110266,6096,No,Completed
UPI,STU110267,7062,No,Completed
UPI,STU110268,6318,No,Not Completed
UPI,STU110269,3258,No,Not Completed
UPI,STU110270,3575,No,Completed
Free,STU110271,0,No,Completed
Credit Card,STU110272,3152,Yes,Completed
Credit Card,STU110273,6605,No,Completed
UPI,STU110274,3295,Yes,Completed
Free,STU110275,0,Yes,Not Completed
UPI,STU110276,4562,No,Completed
Free,STU110277,0,No,Completed
NetBanking,STU110278,3637,No,Completed
Credit Card,STU110279,4057,No,Completed
Free,STU110280,0,No,Not Completed
Credit Card,STU110281,3386,No,Not Completed
Free,STU110282,0,Yes,Not Completed
UPI,STU110283,3222,Yes,Not Completed
Credit Card,STU110284,5200,No,Not Completed
Free,STU110285,0,No,Completed
Debit Card,STU110286,4391,No,Completed
UPI,STU110287,4184,No,Completed
Debit Card,STU110288,6179,No,Not Completed
Scholarship,STU110289,2082,No,Not Completed
UPI,STU110290,6759,No,Completed
Debit Card,STU110291,5809,No,Not Completed
NetBanking,STU110292,3812,No,Completed
UPI,STU110293,3388,No,Completed
Scholarship,STU110294,723,No,Completed
Free,STU110295,0,No,Not Completed
Credit Card,STU110296,6701,No,Not Completed
UPI,STU110297,3589,Yes,Not Completed
Debit Card,STU110298,4646,No,Completed
Free,STU110299,0,No,Not Completed
UPI,STU110300,3184,No,Completed
NetBanking,STU110301,4226,No,Completed
UPI,STU110302,5277,No,Not Completed
UPI,STU110303,3542,Yes,Completed
UPI,STU110304,3785,No,Completed
NetBanking,STU110305,3418,No,Completed
UPI,STU110306,3306,Yes,Completed
UPI,STU110307,6025,No,Completed
UPI,STU110308,4890,No,Completed
UPI,STU110309,5569,No,Not Completed
NetBanking,STU110310,5052,Yes,Completed
Credit Card,STU110311,5274,No,Not Completed
NetBanking,STU110312,4163,No,Completed
Scholarship,STU110313,338,No,Completed
Free,STU110314,0,Yes,Not Completed
Free,STU110315,0,Yes,Completed
Scholarship,STU110316,1242,No,Not Completed
NetBanking,STU110317,4191,No,Not Completed
UPI,STU110318,4219,No,Not Completed
Scholarship,STU110319,713,Yes,Completed
UPI,STU110320,3575,Yes,Completed
UPI,STU110321,3321,No,Not Completed
Free,STU110322,0,No,Not Completed
Scholarship,STU110323,812,No,Not Completed
Free,STU110324,0,No,Completed
UPI,STU110325,5862,No,Not Completed
UPI,STU110326,5414,No,Completed
Debit Card,STU110327,6622,No,Not Completed
Debit Card,STU110328,5199,No,Completed
Credit Card,STU110329,3332,No,Not Completed
Debit Card,STU110330,3856,No,Completed
Debit Card,STU110331,5069,No,Completed
Debit Card,STU110332,3834,No,Completed
Debit Card,STU110333,4483,No,Not Completed
UPI,STU110334,3085,Yes,Not Completed
Credit Card,STU110335,4382,No,Not Completed
Free,STU110336,0,No,Not Completed
Credit Card,STU110337,3272,No,Completed
Scholarship,STU110338,1088,No,Not Completed
UPI,STU110339,4671,No,Completed
Credit Card,STU110340,4664,No,Completed
Scholarship,STU110341,510,No,Completed
Debit Card,STU110342,5219,No,Completed
Debit Card,STU110343,3825,Yes,Completed
Free,STU110344,0,No,Not Completed
UPI,STU110345,3622,No,Completed
UPI,STU110346,5750,No,Completed
UPI,STU110347,4821,No,Completed
UPI,STU110348,3046,No,Completed
UPI,STU110349,5735,No,Completed
Free,STU110350,0,No,Not Completed
Credit Card,STU110351,3526,No,Completed
UPI,STU110352,6113,No,Completed
UPI,STU110353,2720,Yes,Completed
NetBanking,STU110354,4787,No,Completed
UPI,STU110355,3133,No,Completed
Free,STU110356,0,No,Not Completed
Debit Card,STU110357,5020,Yes,Not Completed
UPI,STU110358,3058,No,Not Completed
Scholarship,STU110359,219,No,Completed
Debit Card,STU110360,4156,No,Completed
UPI,STU110361,4553,No,Completed
Scholarship,STU110362,1521,No,Not Completed
UPI,STU110363,5051,No,Completed
Debit Card,STU110364,5648,No,Not Completed
NetBanking,STU110365,4586,No,Completed
UPI,STU110366,4646,No,Not Completed
NetBanking,STU110367,3827,No,Completed
Credit Card,STU110368,2810,Yes,Not Completed
Credit Card,STU110369,4324,No,Completed
UPI,STU110370,4318,No,Completed
Debit Card,STU110371,3557,No,Completed
Debit Card,STU110372,3393,No,Not Completed
Free,STU110373,0,No,Not Completed
Debit Card,STU110374,6070,No,Completed
Debit Card,STU110375,3479,No,Completed
Debit Card,STU110376,3070,Yes,Not Completed
Free,STU110377,0,No,Not Completed
Free,STU110378,0,Yes,Completed
Debit Card,STU110379,4276,Yes,Completed
Credit Card,STU110380,4057,No,Not Completed
UPI,STU110381,3135,No,Not Completed
Free,STU110382,0,No,Not Completed
NetBanking,STU110383,3001,Yes,Completed
Debit Card,STU110384,3968,No,Completed
Debit Card,STU110385,5473,No,Completed
Debit Card,STU110386,3343,No,Completed
Debit Card,STU110387,6281,No,Not Completed
UPI,STU110388,5403,No,Not Completed
Free,STU110389,0,No,Not Completed
Debit Card,STU110390,5948,No,Not Completed
Free,STU110391,0,Yes,Not Completed
Debit Card,STU110392,4209,No,Completed
Free,STU110393,0,Yes,Completed
Free,STU110394,0,Yes,Not Completed
UPI,STU110395,3898,Yes,Not Completed
Credit Card,STU110396,7059,No,Not Completed
UPI,STU110397,3138,Yes,Completed
NetBanking,STU110398,4219,No,Not Completed
UPI,STU110399,6851,No,Completed
UPI,STU110400,3960,No,Not Completed
Free,STU110401,0,No,Not Completed
UPI,STU110402,7094,No,Completed
Free,STU110403,0,No,Completed
Free,STU110404,0,No,Not Completed
UPI,STU110405,3742,No,Completed
UPI,STU110406,4633,Yes,Completed
Debit Card,STU110407,5794,No,Completed
UPI,STU110408,4238,No,Not Completed
Credit Card,STU110409,3483,Yes,Completed
Free,STU110410,0,Yes,Not Completed
Credit Card,STU110411,3382,No,Completed
Scholarship,STU110412,2214,No,Completed
UPI,STU110413,6263,No,Not Completed
NetBanking,STU110414,4638,No,Not Completed
Scholarship,STU110415,2091,No,Not Completed
Free,STU110416,0,Yes,Not Completed
Credit Card,STU110417,4569,No,Completed
Debit Card,STU110418,3482,No,Not Completed
UPI,STU110419,6000,No,Not Completed
Credit Card,STU110420,5199,Yes,Completed
Debit Card,STU110421,4145,No,Completed
Free,STU110422,0,No,Completed
Debit Card,STU110423,7038,No,Completed
Scholarship,STU110424,344,No,Not Completed
Debit Card,STU110425,3224,No,Not Completed
Free,STU110426,0,No,Not Completed
Debit Card,STU110427,4170,No,Not Completed
UPI,STU110428,6213,No,Completed
Debit Card,STU110429,3165,No,Not Completed
Scholarship,STU110430,1543,No,Completed
UPI,STU110431,5095,Yes,Completed
Debit Card,STU110432,4529,No,Not Completed
Scholarship,STU110433,632,No,Completed
Free,STU110434,0,No,Not Completed
UPI,STU110435,4507,Yes,Completed
Debit Card,STU110436,6210,No,Completed
UPI,STU110437,4208,No,Not Completed
NetBanking,STU110438,4071,No,Completed
UPI,STU110439,5731,No,Completed
NetBanking,STU110440,3172,Yes,Not Completed
Debit Card,STU110441,4977,No,Completed
NetBanking,STU110442,3193,No,Completed
NetBanking,STU110443,3697,Yes,Not Completed
Credit Card,STU110444,5633,No,Not Completed
NetBanking,STU110445,4460,No,Completed
UPI,STU110446,3492,Yes,Completed
Free,STU110447,0,No,Completed
Debit Card,STU110448,4376,No,Not Completed
NetBanking,STU110449,2498,Yes,Completed
Free,STU110450,0,No,Not Completed
UPI,STU110451,2929,Yes,Completed
UPI,STU110452,4709,No,Completed
UPI,STU110453,4122,No,Completed
Debit Card,STU110454,3312,No,Completed
Free,STU110455,0,No,Completed
Free,STU110456,0,No,Not Completed
Debit Card,STU110457,5134,No,Completed
Credit Card,STU110458,4103,No,Completed
UPI,STU110459,3942,Yes,Not Completed
UPI,STU110460,5641,No,Not Completed
Credit Card,STU110461,5235,No,Not Completed
UPI,STU110462,4017,No,Completed
Scholarship,STU110463,1068,No,Not Completed
UPI,STU110464,3554,No,Not Completed
Debit Card,STU110465,3527,Yes,Not Completed
UPI,STU110466,4099,No,Completed
Credit Card,STU110467,4120,No,Not Completed
Free,STU110468,0,No,Completed
Free,STU110469,0,No,Completed
Free,STU110470,0,No,Not Completed
Debit Card,STU110471,4894,No,Not Completed
UPI,STU110472,4822,No,Completed
Free,STU110473,0,No,Not Completed
Credit Card,STU110474,4309,No,Not Completed
UPI,STU110475,6273,No,Completed
Free,STU110476,0,Yes,Completed
Free,STU110477,0,No,Completed
UPI,STU110478,3678,No,Completed
Credit Card,STU110479,4179,No,Not Completed
Free,STU110480,0,No,Completed
Scholarship,STU110481,1339,No,Completed
UPI,STU110482,5748,No,Not Completed
Credit Card,STU110483,5872,No,Completed
UPI,STU110484,6367,No,Not Completed
Debit Card,STU110485,4817,Yes,Completed
Free,STU110486,0,No,Completed
Debit Card,STU110487,4142,No,Completed
Debit Card,STU110488,3545,No,Completed
Debit Card,STU110489,4671,Yes,Not Completed
Free,STU110490,0,No,Completed
UPI,STU110491,4113,Yes,Not Completed
Free,STU110492,0,Yes,Completed
UPI,STU110493,4037,No,Completed
Free,STU110494,0,No,Completed
Credit Card,STU110495,3705,No,Completed
UPI,STU110496,4532,Yes,Completed
UPI,STU110497,4953,No,Not Completed
UPI,STU110498,3173,No,Completed
UPI,STU110499,5261,No,Completed
Scholarship,STU110500,391,No,Not Completed
Scholarship,STU110501,1971,No,Completed
NetBanking,STU110502,5806,No,Not Completed
UPI,STU110503,3306,No,Not Completed
NetBanking,STU110504,5021,No,Not Completed
UPI,STU110505,3912,No,Completed
NetBanking,STU110506,3175,No,Not Completed
NetBanking,STU110507,4637,Yes,Not Completed
Free,STU110508,0,No,Not Completed
Free,STU110509,0,Yes,Completed
Scholarship,STU110510,1187,No,Not Completed
Free,STU110511,0,No,Completed
Credit Card,STU110512,2745,Yes,Completed
UPI,STU110513,3072,Yes,Not Completed
NetBanking,STU110514,3579,No,Not Completed
Scholarship,STU110515,334,No,Not Completed
Scholarship,STU110516,289,No,Completed
Credit Card,STU110517,3863,Yes,Completed
UPI,STU110518,3771,No,Completed
NetBanking,STU110519,5562,Yes,Completed
Scholarship,STU110520,555,Yes,Completed
Credit Card,STU110521,5751,No,Completed
Debit Card,STU110522,4586,No,Not Completed
Credit Card,STU110523,2792,Yes,Not Completed
Debit Card,STU110524,4796,No,Not Completed
Free,STU110525,0,No,Completed
Debit Card,STU110526,5402,No,Completed
UPI,STU110527,3213,No,Not Completed
NetBanking,STU110528,4146,No,Not Completed
Debit Card,STU110529,7048,No,Completed
UPI,STU110530,4087,No,Not Completed
NetBanking,STU110531,3342,No,Not Completed
UPI,STU110532,5964,No,Not Completed
Free,STU110533,0,No,Not Completed
UPI,STU110534,3706,No,Not Completed
UPI,STU110535,3766,No,Completed
Scholarship,STU110536,2815,No,Not Completed
Scholarship,STU110537,1194,No,Not Completed
Debit Card,STU110538,5897,No,Not Completed
Free,STU110539,0,Yes,Not Completed
UPI,STU110540,3274,No,Not Completed
NetBanking,STU110541,2706,Yes,Not Completed
Scholarship,STU110542,863,No,Not Completed
UPI,STU110543,3834,No,Completed
UPI,STU110544,6804,No,Not Completed
NetBanking,STU110545,4774,No,Completed
NetBanking,STU110546,5962,No,Not Completed
Credit Card,STU110547,3856,No,Not Completed
Free,STU110548,0,No,Completed
Scholarship,STU110549,427,Yes,Not Completed
Credit Card,STU110550,6149,No,Not Completed
Credit Card,STU110551,3198,No,Not Completed
UPI,STU110552,3877,No,Completed
UPI,STU110553,5251,No,Not Completed
NetBanking,STU110554,3447,Yes,Not Completed
Free,STU110555,0,Yes,Not Completed
Debit Card,STU110556,3514,Yes,Completed
Debit Card,STU110557,3296,No,Not Completed
Free,STU110558,0,No,Not Completed
UPI,STU110559,3307,No,Not Completed
NetBanking,STU110560,3495,Yes,Completed
Debit Card,STU110561,4490,No,Completed
UPI,STU110562,6144,No,Completed
Scholarship,STU110563,1406,Yes,Completed
Debit Card,STU110564,4905,No,Completed
Free,STU110565,0,No,Not Completed
UPI,STU110566,4297,No,Completed
NetBanking,STU110567,3382,Yes,Completed
UPI,STU110568,6124,No,Completed
Free,STU110569,0,No,Not Completed
NetBanking,STU110570,2997,Yes,Completed
Credit Card,STU110571,3847,No,Completed
UPI,STU110572,4886,No,Completed
Debit Card,STU110573,2983,No,Completed
NetBanking,STU110574,3507,No,Not Completed
Debit Card,STU110575,5698,Yes,Completed
Free,STU110576,0,No,Not Completed
UPI,STU110577,4364,No,Not Completed
NetBanking,STU110578,4272,No,Not Completed
UPI,STU110579,3178,No,Not Completed
NetBanking,STU110580,3111,No,Completed
UPI,STU110581,6670,No,Not Completed
Scholarship,STU110582,574,No,Not Completed
UPI,STU110583,4178,Yes,Completed
Scholarship,STU110584,1438,No,Not Completed
Credit Card,STU110585,3118,No,Completed
Scholarship,STU110586,1108,No,Not Completed
Debit Card,STU110587,3381,Yes,Completed
NetBanking,STU110588,6729,No,Not Completed
Free,STU110589,0,No,Not Completed
UPI,STU110590,3617,No,Completed
NetBanking,STU110591,3352,No,Completed
Scholarship,STU110592,620,No,Completed
Debit Card,STU110593,3826,No,Completed
UPI,STU110594,3838,No,Not Completed
UPI,STU110595,3447,Yes,Not Completed
Scholarship,STU110596,1758,No,Completed
UPI,STU110597,6531,No,Completed
Free,STU110598,0,No,Not Completed
Scholarship,STU110599,172,Yes,Completed
UPI,STU110600,2961,No,Completed
UPI,STU110601,3710,No,Completed
